, Trust in an airline is more important to me than compensation when making travel decisions.  ,The event would influence my choice of airline for a similar trip.  ,The event influenced my level of trust in the airline.  ,Trust plays a greater role than price in my airline selection decisions.  ,Emotion_Actual,Trust_Actual,Emotion_Heard,Trust_Heard,Choice_Intent_Heard
 Trust in an airline is more important to me than compensation when making travel decisions.  ,1.0,0.7964251395551574,0.9044149889863653,0.6785714285714285,0.6096144461142362,0.21937337077702979,0.8667190566019206,0.9044149889863653,0.766651877999928
The event would influence my choice of airline for a similar trip.  ,0.7964251395551574,1.0,0.5393551446803957,0.41877233974904976,-0.11118739749916487,0.4078718512040371,0.3164647391849322,0.5393551446803957,0.6867597593325541
The event influenced my level of trust in the airline.  ,0.9044149889863653,0.5393551446803957,1.0,0.24512721700344609,3.888448475679268e-16,0.31663735817155514,0.44013806205628975,1.0,0.548838059008831
Trust plays a greater role than price in my airline selection decisions.  ,0.6785714285714285,0.41877233974904976,0.24512721700344609,1.0,0.3824264635194591,0.5225248875072995,0.3132210245943291,0.24512721700344609,0.5338843035877648
Emotion_Actual,0.6096144461142362,-0.11118739749916487,3.888448475679268e-16,0.3824264635194591,1.0,-0.02304008124700294,0.4283435309110823,2.407134770658594e-16,0.30697030675746045
Trust_Actual,0.21937337077702979,0.4078718512040371,0.31663735817155514,0.5225248875072995,-0.02304008124700294,1.0,0.09845266903290265,0.3166373581715552,0.5080005080007618
Emotion_Heard,0.8667190566019206,0.3164647391849322,0.44013806205628975,0.3132210245943291,0.4283435309110823,0.09845266903290265,1.0,0.4401380620562897,0.39853374790383617
Trust_Heard,0.9044149889863653,0.5393551446803957,1.0,0.24512721700344609,2.407134770658594e-16,0.3166373581715552,0.4401380620562897,1.0,0.548838059008831
Choice_Intent_Heard,0.766651877999928,0.6867597593325541,0.548838059008831,0.5338843035877648,0.30697030675746045,0.5080005080007618,0.39853374790383617,0.548838059008831,1.0
